"channel","marker"
"Time","Time"
"SSC-H",NA
"SSC-A",NA
"V1-A",NA
"V2-A",NA
"V3-A",NA
"V4-A",NA
"V5-A",NA
"V6-A",NA
"V7-A",NA
"V8-A",NA
"V9-A",NA
"V10-A",NA
"V11-A",NA
"V12-A",NA
"V13-A",NA
"V14-A",NA
"V15-A",NA
"V16-A",NA
"FSC-H",NA
"FSC-A",NA
"SSC-B-H",NA
"SSC-B-A",NA
"B1-A",NA
"B2-A","B2-A"
"B3-A",NA
"B4-A",NA
"B5-A",NA
"B6-A",NA
"B7-A",NA
"B8-A",NA
"B9-A",NA
"B10-A",NA
"B11-A",NA
"B12-A",NA
"B13-A",NA
"B14-A",NA
"YG1-A",NA
"YG2-A",NA
"YG3-A",NA
"YG4-A",NA
"YG5-A",NA
"YG6-A",NA
"YG7-A",NA
"YG8-A",NA
"YG9-A",NA
"YG10-A",NA
"R1-A",NA
"R2-A",NA
"R3-A",NA
"R4-A",NA
"R5-A",NA
"R6-A",NA
"R7-A",NA
"R8-A",NA
